CisBP_ID	PDB_ID	CisBP_BS_len	PDB_BS_len	Offset	P-value
M0172_1.02	2ql2_1B	8	16	-3	0.0138758
M1535_1.02	1gcc_1A	10	11	2	0.22301
M1299_1.02	3mu6_1D	8	12	-5	0.886615
M1703_1.02	2lex_1A	13	10	2	0.000333412
M1476_1.02	4iqr_2F	10	17	0	0.32936
M0275_1.02	2wt7_1A	10	15	-4	0.446193
M1555_1.02	4dqy_1E	10	14	8	0.9824
M1024_1.02	4rdu_1D	9	12	0	0.0595336
M0035_1.02	1gcc_1A	9	11	0	0.0118662
M0913_1.02	1puf_1A	10	19	-7	0.000730388
M1730_1.02	1hwt_1G	10	9	-1	0.143601
M1450_1.02	1cit_1A	8	16	-4	0.000132133
M0177_1.02	2ypb_1A	10	11	0	0.00011375
M1523_1.02	2as5_1N	10	16	2	0.0435393
M1046_1.02	2lkx_1A	10	13	-3	0.400228
M0310_1.02	1h88_1B	8	16	-3	0.00243605
M1668_1.02	2l1g_1A	12	16	1	0.442641
M0730_1.02	3l2c_1A	10	13	-2	0.115027
M1823_1.02	1hwt_1D	10	19	-8	0.688893
M0224_1.02	2ql2_1B	10	16	-3	0.00311183
M1748_1.02	6e33_1A	8	19	-8	0.797128
M1117_1.02	1fjl_1A	9	14	0	0.525622
M0954_1.02	3a01_1F	9	17	-1	0.005857
M1754_1.02	1zme_1D	9	16	-1	0.772126
M1403_1.02	3swp_1A	9	15	2	0.999977
M0189_1.02	2ypb_1A	8	11	-1	0.256241
M1402_1.02	3swp_1A	10	15	-6	0.891704
M1010_1.02	1ahd_1P	9	14	-3	0.00246938
M1314_1.02	1vfc_1A	10	13	-2	0.0146694
M0611_1.02	6asb_1C	10	16	-1	0.324537
M0413_1.02	2i13_1A	10	21	-1	0.895088
M1603_1.02	3f27_1D	8	16	-5	0.000278072
M1288_1.02	4cn2_1D	9	16	-5	0.66145
M1061_1.02	6fqp_1A	10	16	0	2.41899e-05
M1831_1.02	1hwt_1G	10	9	2	0.0654034
M1449_1.02	4nqa_1A	8	16	2	0.0283197
M0340_1.02	5vpe_1D	13	9	-3	0.695765
M0927_1.02	3a01_1F	8	17	-1	0.0417625
M0615_1.02	2kkf_1A	10	12	1	0.718166
M0603_1.02	3qmb_1A	7	12	-4	0.194034
M0832_1.02	5hod_1A	8	16	-8	0.197684
M0326_1.02	2e42_1B	10	15	-3	0.115814
M1148_1.02	5zjt_1B	10	14	-2	0.710005
M0032_1.02	1gcc_1A	10	11	0	0.190814
M0739_1.02	6akp_1C	8	16	2	0.114475
M0993_1.02	3a01_1A	9	17	-7	0.0214813
M1017_1.02	1hdd_1D	8	13	-8	0.0403055
M1181_1.02	1fjl_1A	9	14	0	0.55186
M1257_1.02	4h10_1B	10	14	-5	0.543505
M0796_1.02	5gat_1A	7	13	-3	0.0586699
M1113_1.02	5zfz_1A	10	19	-8	0.018413
M0301_1.02	2wt7_1A	8	15	-6	0.578717
M0330_1.02	1gd2_1F	8	12	-1	0.00664367
M0639_1.02	4yj0_1B	10	22	-12	1.0
M0628_1.02	4yj0_1B	8	22	-14	1.0
M1577_1.02	3u2b_1C	10	16	-5	0.0093123
M0763_1.02	4hc7_1A	10	18	-6	0.0296086
M0295_1.02	1dh3_1C	8	19	-5	0.936336
M0700_1.02	4uuv_1P	10	9	1	0.502774
M1604_1.02	3u2b_1C	9	16	-5	0.000104365
M0930_1.02	3rkq_1A	10	17	1	0.0681729
M0100_1.02	1kqq_1A	9	15	-4	0.594073
M0434_1.02	2i13_1B	9	18	-1	0.952076
M0055_1.02	5x22_1D	8	13	-5	0.529342
M0280_1.02	1gd2_1E	10	12	0	0.0182275
M0311_1.02	5vpf_1B	9	18	-4	0.192089
M1152_1.02	6fqp_1A	11	16	-1	0.0900409
M1549_1.02	5iud_1A	10	13	4	0.977269
M1140_1.02	6fqp_1B	8	16	-2	0.0254425
M0455_1.02	5ei9_1E	10	20	-10	0.323763
M0142_1.02	3ket_1A	7	10	-5	0.481917
M0333_1.02	1ysa_1D	9	17	-3	0.756097
M0072_1.02	1gcc_1A	8	11	-1	0.185781
M0137_1.02	6f44_1A	8	16	-11	0.34681
M0149_1.02	5gnj_1B	7	13	-3	0.0271796
M1220_1.02	3rkq_1A	8	17	0	0.0441329
M0123_1.02	3rn5_1D	10	26	-14	0.998569
M0016_1.02	1gcc_1A	10	11	1	0.584442
M0968_1.02	2lkx_1A	8	13	-3	0.000293635
M1237_1.02	1oct_1C	10	14	-2	0.0152704
M1718_1.02	1f5e_1P	10	10	-4	0.763866
M0849_1.02	3hdd_1A	10	19	7	0.997447
M1702_1.02	2lex_1A	10	10	-1	0.00380263
M0052_1.02	1mnm_1A	8	23	-8	0.999995
M0648_1.02	5vpf_1B	7	18	-7	0.706346
M0193_1.02	4ati_1B	8	16	-5	0.00676588
M1697_1.02	2lex_1A	10	10	1	0.0109408
M0307_1.02	1dh3_1C	8	19	4	0.890148
M1638_1.02	1xbr_1A	11	19	-2	0.548861
M0238_1.02	5v0l_2A	10	11	0	0.988248
M0520_1.02	5ke6_1A	10	10	-1	0.217737
M1394_1.02	1vfc_1A	9	13	-1	0.000361916
M1655_1.02	6ah0_4w	8	8	0	0.954691
M1676_1.02	6n62_1C	10	13	-8	0.881241
M0760_1.02	5gat_1A	7	13	-6	0.332965
M1750_1.02	3coq_1B	10	19	-10	0.0185179
M1817_1.02	3coq_1B	9	19	-13	0.114213
M0634_1.02	4yj0_1B	10	22	-12	1.0
M0202_1.02	4ati_1B	10	16	-4	0.0173116
M1228_1.02	1oct_1C	10	14	1	0.0623644
M1187_1.02	3a01_1A	9	17	-7	0.0269993
M0682_1.02	3cbb_1A	10	20	-2	0.327681
M1371_1.02	1h88_1C	8	19	-6	0.677681
M1473_1.02	3dzy_1A	10	15	-6	0.00453845
M0891_1.02	3a01_1A	10	17	-7	0.0391183
M1194_1.02	3a01_1A	8	17	-7	0.588754
M1782_1.02	1hwt_1D	10	19	-11	0.942544
M0354_1.02	1gd2_1E	10	12	0	0.0444089
M1739_1.02	2er8_1B	10	12	0	0.27191
M0876_1.02	1fjl_1A	13	14	-9	0.841407
M1253_1.02	5d5v_1D	10	12	2	0.696005
M0886_1.02	2ld5_1A	8	11	-1	0.0645822
M1596_1.02	1gt0_1D	8	18	-1	0.020551
M1028_1.02	2me6_1A	9	14	-2	0.00382343
M0793_1.02	3gat_1A	8	16	-5	0.374747
M0084_1.02	6brr_1D	10	14	1	0.741454
M0162_1.02	5gnj_1A	9	13	-3	0.170852
M0868_1.02	2lkx_1A	10	13	-5	0.213941
M0869_1.02	4uus_1A	10	13	1	0.00543698
M1699_1.02	2lex_1A	10	10	-1	0.00269314
M0473_1.02	2i13_1A	10	21	-2	0.601406
M1008_1.02	1puf_1A	8	19	-8	0.00279096
M0019_1.02	1gcc_1A	9	11	0	0.0519057
M0581_1.02	4rbo_1A	9	12	-1	0.605072
M0714_1.02	3zp5_1A	10	10	-1	2.15036e-05
M0087_1.02	4ux5_1B	10	14	-4	0.274131
M1294_1.02	5eyb_1A	10	25	-6	0.237539
M1412_1.02	3swp_1A	10	15	-4	0.957625
M1214_1.02	6a8r_1B	9	9	6	0.597995
M1180_1.02	1jgg_1B	10	10	2	0.220432
M1622_1.02	6f59_1B	10	20	-6	0.00013
M0396_1.02	5ei9_1E	10	20	-10	0.558446
M1263_1.02	2pi0_1B	10	26	-7	0.383838
M1164_1.02	1b72_1A	8	18	-7	0.00628648
M0711_1.02	1dux_1F	8	11	-5	0.495203
M0859_1.02	5eg0_1A	10	17	-1	0.412717
M0341_1.02	1t2k_1D	10	15	-2	0.126791
M1620_1.02	6dcf_1C	8	26	-7	0.979989
M0213_1.02	2ql2_1B	11	16	-4	0.00154902
M0491_1.02	5k5h_1A	8	12	-1	0.00159178
M1284_1.02	3osg_1D	10	10	4	0.0824167
M0612_1.02	6asd_1C	8	12	0	0.817959
M1197_1.02	4s0h_1F	10	8	3	0.626036
M0948_1.02	1puf_1A	8	19	-8	0.000912165
M1429_1.02	5uan_1B	8	17	-4	0.284327
M1179_1.02	1ahd_1P	10	14	-3	0.381763
M0525_1.02	1a1h_1A	10	10	0	0.755759
M0762_1.02	5gat_1A	7	13	-3	0.535837
M0768_1.02	7gat_1A	11	13	1	0.0976405
M0160_1.02	5gnj_1B	10	13	-2	0.0308871
M0578_1.02	1hlv_1A	8	21	-2	0.992192
M1733_1.02	6gys_2J	8	16	-7	0.937153
M0597_1.02	5fd3_1B	9	12	3	0.720917
M0863_1.02	3a01_1F	8	17	-2	0.273403
M1147_1.02	1b72_1B	11	19	3	0.31782
M1207_1.02	4xrm_1B	8	16	-6	0.020924
M0587_1.02	5fd3_1A	13	10	9	0.956747
M1317_1.02	1h8a_1C	9	19	-1	0.258987
M0448_1.02	2i13_1B	8	18	-1	0.997748
M0264_1.02	1ysa_1D	10	17	0	0.811725
M1752_1.02	1zme_1D	10	16	3	0.55637
M0154_1.02	5gnj_1A	10	13	-2	0.234214
M1352_1.02	5lxu_1A	9	9	1	0.53836
M0508_1.02	1p47_1B	10	19	-11	0.0569527
M0812_1.02	1odh_1A	9	13	-1	0.000131777
M0706_1.02	1dux_1F	10	11	-3	0.565982
M0456_1.02	5ke7_1A	9	10	0	0.0367068
M0783_1.02	4hc7_1A	10	18	-7	0.00723025
M0271_1.02	1dh3_1C	10	19	-6	0.178173
M0614_1.02	6asb_1C	8	16	-3	0.37496
M1690_1.02	2lex_1A	10	10	-1	0.00745799
M0327_1.02	1gd2_1E	11	12	-6	0.872875
M0697_1.02	3jtg_1A	10	15	-4	0.000562064
M1830_1.02	1hwt_1H	9	13	1	0.102603
M1029_1.02	3rkq_1A	10	17	0	0.0811701
M0025_1.02	1gcc_1A	10	11	0	0.120818
M0572_1.02	1llm_1C	9	12	2	0.976355
M1381_1.02	3osg_1A	10	12	-2	0.31844
M0746_1.02	2hdc_1A	12	17	-2	0.956291
M1195_1.02	9ant_2B	10	14	-4	0.115832
M1051_1.02	2xsd_1C	8	10	-1	0.0428388
M1684_1.02	2lex_1A	11	10	0	0.00441872
M0395_1.02	5wjq_1D	8	28	-16	0.393027
M1753_1.02	1zme_1D	9	16	3	0.509924
M1698_1.02	2lex_1A	9	10	-1	0.00305172
M0045_1.02	1o4x_1B	8	19	-2	0.9089
M0332_1.02	1t2k_1D	11	15	0	0.0286888
M0785_1.02	4hc7_1A	9	18	-9	0.209793
M0893_1.02	5hod_1A	10	16	-7	0.143142
M0103_1.02	1kqq_1A	9	15	-4	0.367387
M0375_1.02	5yj3_1C	7	11	0	0.351824
M0733_1.02	2uzk_1A	8	13	-4	0.000516449
M1441_1.02	3dzy_1A	10	15	-6	0.0101948
M1049_1.02	4uus_1F	10	13	1	0.813435
M1420_1.02	2etw_1A	10	13	-5	0.385381
M0288_1.02	5zko_1C	10	20	2	0.614553
M1584_1.02	4s2q_1D	8	13	-2	0.0324881
M1589_1.02	1gt0_1D	10	18	-2	0.29908
M1416_1.02	3swp_1A	10	15	-5	0.479176
M1267_1.02	2irf_1L	10	21	-9	0.264941
M0929_1.02	2h1k_1B	9	14	-1	0.330846
M0094_1.02	4ux5_1B	8	14	-5	0.898086
M0871_1.02	1lfu_1P	8	14	1	0.561053
M1592_1.02	1gt0_1D	8	18	-2	0.12099
M0260_1.02	5vpe_1D	10	9	-2	0.572894
M1366_1.02	1msf_1C	10	11	-1	0.121925
M1409_1.02	3swp_1A	10	15	1	0.948998
M0315_1.02	1h88_1B	10	16	-2	0.0336124
M0304_1.02	1nwq_1C	10	20	-4	0.0693948
M1670_1.02	2l1g_1A	11	16	-4	0.797907
M1691_1.02	2lex_1A	11	10	0	0.0324969
M0287_1.02	5zko_1C	10	20	-10	0.321522
M1600_1.02	3f27_1D	8	16	-6	0.000353193
M1161_1.02	1mnm_1D	8	13	0	0.138458
M1277_1.02	5eyb_1A	10	25	-6	0.629519
M0918_1.02	1jgg_1B	9	10	2	0.127102
M1787_1.02	3coq_1B	8	19	-10	0.147918
M1104_1.02	2me6_1A	8	14	-3	0.202978
M0292_1.02	5vpf_1D	9	9	-3	0.345606
M0528_1.02	2i13_1B	10	18	-5	0.985269
M0582_1.02	5v0l_2B	9	11	0	0.975673
M1431_1.02	1r0n_1A	9	17	0	5.15447e-05
M1002_1.02	2h1k_1B	9	14	-1	0.63918
M0074_1.02	1gcc_1A	13	11	3	0.13453
M0753_1.02	6el8_1A	8	13	-2	0.0121742
M0805_1.02	5gat_1A	10	13	-1	0.350943
M1318_1.02	1vfc_1A	10	13	-2	0.0164669
M1678_1.02	2lex_1A	10	10	0	0.00384017
M0138_1.02	3mlp_1E	10	22	-13	0.699583
M0908_1.02	1nk2_1P	8	14	-3	0.000226689
M0949_1.02	2r5z_1A	7	19	-8	0.043462
M0229_1.02	4atk_1B	9	16	-3	0.0954314
M1372_1.02	5eyb_1A	8	25	-9	0.0160823
M1774_1.02	1hwt_1H	8	13	-1	0.466514
M0318_1.02	6mg3_1B	13	16	-2	0.130189
M1123_1.02	4xrm_1B	9	16	-6	0.00209988
M0771_1.02	5gat_1A	9	13	-1	0.0491278
M1328_1.02	5lxu_1A	10	9	1	0.0183851
M0182_1.02	4h10_1A	10	14	-3	0.00275664
M0159_1.02	5gnj_1F	10	13	0	0.581999
M0951_1.02	3a01_1F	8	17	-1	0.0300752
M1615_1.02	1j5n_1A	8	15	-10	0.671093
M1664_1.02	5gzb_1A	8	13	-10	0.992473
M0754_1.02	6el8_1A	9	13	-1	0.113958
M1289_1.02	2oeh_1A	8	14	-4	0.589411
M0365_1.02	5v8f_1C	10	23	-14	0.986904
M0944_1.02	3a01_1F	8	17	-2	0.0824356
M0732_1.02	6ako_1C	10	16	-3	0.00430803
M1168_1.02	1fjl_1A	9	14	0	0.686929
M1226_1.02	2xsd_1C	8	10	-1	0.0158156
M1495_1.02	1r0n_1A	8	17	-1	0.000257733
M1248_1.02	5d8l_1H	10	25	-12	0.641338
M0289_1.02	1dh3_1C	10	19	-5	0.955849
M0721_1.02	5x07_3I	9	16	-1	0.00671685
M1666_1.02	2l1g_1A	12	16	-2	0.96183
M0887_1.02	2h1k_1B	9	14	-3	0.608973
M0751_1.02	2c6y_1B	8	15	-8	0.176719
M0960_1.02	5hod_1A	8	16	-8	0.0154493
M0218_1.02	2ql2_1B	8	16	-4	0.00553882
M1437_1.02	1r0n_1A	10	17	0	0.00305638
M0660_1.02	6gys_2J	9	16	-4	0.618397
M1679_1.02	2lex_1A	8	10	-2	0.0103288
M1608_1.02	3u2b_1C	8	16	-4	0.0307355
M1709_1.02	1f5e_1P	10	10	-1	0.938614
M0464_1.02	1f2i_1L	10	9	2	0.760517
M1357_1.02	1h88_1C	9	19	-9	0.0154458
M0729_1.02	1vtn_1C	8	13	-6	0.00696534
M0864_1.02	5lux_1K	8	16	-7	0.390437
M1619_1.02	5i44_1I	10	28	-12	0.961728
M0923_1.02	3a01_1F	8	17	-1	0.0352364
M1361_1.02	1vfc_1A	10	13	1	0.000807689
M1686_1.02	2lex_1A	10	10	-1	0.0133563
M1038_1.02	6a8r_1B	9	9	5	0.687925
M1421_1.02	2etw_1A	10	13	-1	0.000142798
M0343_1.02	1skn_1P	10	13	-3	7.70368e-05
M0590_1.02	5fd3_1A	8	10	4	0.129533
M1687_1.02	2lex_1A	10	10	-1	0.000843047
M0369_1.02	1ubd_1C	8	20	-11	0.243573
M0761_1.02	5gat_1A	9	13	-1	0.00335179
M1044_1.02	1puf_1A	10	19	-7	0.000745807
M0432_1.02	2i13_1B	9	18	-4	0.973212
M0486_1.02	1tf6_1D	10	24	3	0.92605
M0889_1.02	3a01_1B	10	17	-1	0.329016
M0776_1.02	4hc7_1A	8	18	-2	0.350687
M0023_1.02	1gcc_1A	10	11	-1	0.163007
M1742_1.02	1hwt_1H	9	13	1	0.567949
M0999_1.02	3a01_1A	9	17	-6	0.00386748
M0088_1.02	4ux5_1B	7	14	-3	0.000434626
M1076_1.02	3rkq_1B	8	17	-9	0.837471
M1397_1.02	5lxu_1A	8	9	0	0.000134403
M1760_1.02	2er8_1A	11	12	-4	0.982101
M0421_1.02	5ke7_1A	10	10	0	0.0066891
M1557_1.02	5zd4_1B	10	14	-1	0.104696
M0982_1.02	1b72_1A	9	18	-7	0.000613079
M1174_1.02	2lkx_1A	10	13	-3	0.0949149
M1659_1.02	5nss_1M	10	24	-10	0.0367023
M1806_1.02	6e33_1A	10	19	-7	0.0458346
M0181_1.02	1hlo_1A	9	11	-3	0.0984051
M0347_1.02	6mg3_1A	8	16	-3	0.772515
M1225_1.02	1mdm_1A	9	25	-4	0.415301
M0521_1.02	4r2p_1A	10	10	-1	0.568111
M0415_1.02	5ke7_1A	8	10	1	0.72261
M0879_1.02	2ld5_1A	8	11	4	0.690464
M1198_1.02	2r5z_1A	8	19	-8	0.0336441
M1462_1.02	3dzu_1D	8	20	-9	0.682033
M1085_1.02	2me6_1A	9	14	-3	0.114818
M1342_1.02	5lxu_1A	10	9	1	0.0289802
M1290_1.02	5eyb_1A	10	25	-10	0.0282644
M0234_1.02	1hlo_1B	9	11	-1	0.018237
M0769_1.02	3gat_1A	10	16	-4	0.368767
M1171_1.02	1b72_1A	8	18	-7	0.256322
M1204_1.02	3hdd_1A	9	19	-10	0.691106
M1276_1.02	6bjs_1J	8	14	5	0.988987
M0513_1.02	1f2i_1L	8	9	-6	0.817037
M0542_1.02	1ubd_1C	7	20	-5	0.0939766
M1270_1.02	2irf_1L	10	21	-10	0.0701596
M1384_1.02	5lxu_1A	10	9	1	0.00236618
M1582_1.02	1j5n_1A	11	15	-4	0.444905
M0677_1.02	1cf7_1A	10	15	-1	0.448375
M1296_1.02	1hbx_1A	9	25	-4	0.0209763
M0823_1.02	5hod_1A	8	16	-7	0.279422
M0726_1.02	5x07_3I	10	16	-1	0.000504582
M1439_1.02	6fbq_1B	8	16	-7	0.000144098
M0046_1.02	3gtm_1B	8	9	1	0.237793
M0489_1.02	6e94_1A	10	18	-7	0.0813272
M1249_1.02	5d8l_1H	13	25	-10	0.441705
M1551_1.02	5x22_1D	8	13	-5	0.882066
M1013_1.02	1ahd_1P	9	14	-3	0.000518199
M0323_1.02	6mg3_1B	13	16	-2	0.147186
M1347_1.02	1msf_1C	10	11	-1	0.269365
M0548_1.02	5ei9_1E	8	20	-5	0.483384
M1685_1.02	2lex_1A	8	10	-2	0.00982715
M0642_1.02	4yj0_1B	10	22	-12	1.0
M0740_1.02	6ako_1C	10	16	-5	0.00180619
M0834_1.02	6es2_1K	9	18	-6	0.560354
M0049_1.02	6gys_2J	8	16	-9	0.264308
M0433_1.02	2i13_1B	10	18	-1	0.752253
M1134_1.02	1fjl_1A	10	14	3	0.337406
M1732_1.02	1hwt_1D	9	19	-8	0.88197
M1714_1.02	6e33_1A	9	19	-6	0.00659283
M0240_1.02	4ati_1B	8	16	-4	0.0956454
M0203_1.02	2ypb_1A	9	11	-1	0.00341394
M0504_1.02	1a1h_1A	8	10	1	0.665037
M1348_1.02	1h8a_1C	10	19	-1	0.617627
M1131_1.02	1mnm_1D	8	13	0	0.141929
M1264_1.02	2irf_1L	10	21	-9	0.308653
M1341_1.02	5lxu_1A	10	9	0	0.00799961
M0406_1.02	2i13_1B	10	18	-4	0.787039
M0152_1.02	5gnj_1B	10	13	-2	0.0382297
M0371_1.02	1g2f_1C	9	24	-11	0.445263
M0540_1.02	1ubd_1C	9	20	-1	0.60698
M0532_1.02	5ei9_1E	10	20	-6	0.526792
M1825_1.02	1hwt_1G	13	9	2	0.355288
M0892_1.02	1ig7_1A	10	13	-2	0.217573
M1484_1.02	4cn7_1B	9	16	-10	0.579986
M1428_1.02	1ga5_1F	8	15	-2	0.914459
M0946_1.02	4s0h_1F	10	8	3	0.425564
M1202_1.02	3a01_1A	8	17	-8	0.0427167
M1405_1.02	3swp_1A	8	15	-1	0.163999
M0977_1.02	6es3_1M	9	18	-6	0.325347
M1230_1.02	2xsd_1C	10	10	1	0.00913925
M0173_1.02	2ql2_1B	13	16	-1	0.00305547
M0205_1.02	4h10_1A	8	14	-3	0.081693
M0904_1.02	1puf_1A	9	19	-8	0.00182657
M1392_1.02	5lxu_1A	12	9	2	0.169431
M1385_1.02	1h8a_1C	9	19	-2	0.777657
M0713_1.02	5ybd_1X	8	9	0	0.0364651
M0259_1.02	1dh3_1C	10	19	-6	0.60905
M1706_1.02	1f5e_1P	10	10	-3	0.728021
M1682_1.02	2lex_1A	10	10	0	0.00301474
M1581_1.02	2lef_1A	10	15	-5	0.730063
M0606_1.02	6asb_1C	8	16	-1	0.398225
M0390_1.02	5ei9_1E	8	20	-11	0.986937
M0228_1.02	2ypb_1A	9	11	-1	0.0475341
M0502_1.02	1a1k_1A	10	10	0	0.849257
M0550_1.02	5kl5_1A	8	10	-1	0.702935
M0360_1.02	1ysa_1D	12	17	-5	0.898212
M1037_1.02	5zfy_1A	10	19	-6	0.00130763
M1151_1.02	5hod_1A	10	16	-8	0.210305
M1692_1.02	2lex_1A	10	10	-1	0.00589571
M1027_1.02	1ahd_1P	9	14	-3	0.0011999
M0905_1.02	2r5z_1A	9	19	-8	0.0423471
M1268_1.02	2irf_1L	10	21	-8	0.0055781
M1309_1.02	1vfc_1A	10	13	-3	0.0382088
M0593_1.02	5fd3_1A	8	10	4	0.245848
M0704_1.02	3jtg_1A	10	15	-4	0.00145048
M0959_1.02	1fjl_1A	8	14	-2	0.549116
M0117_1.02	1kqq_1A	8	15	-1	0.529913
M1114_1.02	2lkx_1A	8	13	-2	0.387335
M0987_1.02	6fqp_1A	9	16	0	0.765028
M1624_1.02	5t1j_1B	10	19	-3	0.00390771
M0108_1.02	2oeh_1A	11	14	0	0.0757861
M1610_1.02	4s2q_1D	8	13	-4	0.15085
M0338_1.02	5vpf_1B	12	18	-6	0.613999
M1229_1.02	5wc9_1E	8	16	0	0.899053
M0237_1.02	1an4_1B	10	20	-3	0.00487722
M1745_1.02	1zme_1D	11	16	-9	0.763433
M1243_1.02	5wc9_1A	10	17	2	0.635391
M0919_1.02	1fjl_1A	8	14	-1	0.549616
M0607_1.02	6asb_1C	9	16	-7	0.350455
M0115_1.02	2oeh_1A	10	14	-1	0.19568
M0350_1.02	4eot_1B	8	17	-7	0.852324
M0217_1.02	2ql2_1B	10	16	-3	0.000683145
M0219_1.02	2ypa_1B	9	11	0	0.00447368
M0935_1.02	4rdu_1D	8	12	-1	0.207364
M1465_1.02	1ga5_1A	8	19	-3	0.0365577
M0099_1.02	4ux5_1B	10	14	-3	0.0517915
M1006_1.02	2ld5_1A	9	11	-5	0.627905
M1143_1.02	5hod_1A	9	16	-8	0.00686704
M0178_1.02	2ypb_1A	10	11	0	0.00152791
M0109_1.02	1kqq_1A	9	15	-4	0.708227
M0417_1.02	4r2d_1A	10	10	1	0.00621435
M1764_1.02	2er8_1B	8	12	0	0.14016
M0756_1.02	6ako_1C	9	16	-6	0.00692845
M1103_1.02	3a01_1B	8	17	-3	0.0226491
M0373_1.02	2i13_1B	13	18	1	0.999801
M0873_1.02	3lnq_1A	8	14	-4	0.16201
M1313_1.02	1msf_1C	8	11	-2	0.00232354
M0454_1.02	1ubd_1C	8	20	-5	0.192089
M0267_1.02	1dh3_1C	8	19	-8	0.941612
M0629_1.02	4yj0_1B	11	22	-11	1.0
M1775_1.02	1hwt_1D	10	19	-9	0.471508
M0671_1.02	1cf7_1A	10	15	-2	0.868151
M0297_1.02	5zko_1C	9	20	-5	0.116985
M0881_1.02	1fjl_1A	9	14	-4	0.883128
M0594_1.02	5fd3_1B	9	12	3	0.606494
M1052_1.02	1nk2_1P	10	14	-3	2.1852e-05
M0875_1.02	5zjr_1B	10	14	-8	0.986408
M1223_1.02	6pax_1A	8	24	-13	0.764203
M0636_1.02	4yj0_1B	10	22	-12	1.0
M1107_1.02	4xrm_1B	8	16	-8	0.00943385
M1138_1.02	1fjl_1A	8	14	-2	0.217729
M1564_1.02	4d8j_2L	10	15	-9	0.74536
M1240_1.02	1gt0_1C	10	23	-10	0.018316
M0397_1.02	5wjq_1D	8	28	-15	0.37174
M0215_1.02	4h10_1A	10	14	-2	0.0477772
M0302_1.02	2wt7_1A	10	15	-4	0.184833
M0250_1.02	5gnj_1F	10	13	0	0.220949
M1141_1.02	6fqp_1B	10	16	-5	0.0773172
M1362_1.02	1msf_1C	10	11	-1	0.0243305
M0064_1.02	3gtm_1B	8	9	-1	0.906062
M0749_1.02	2hdc_1A	9	17	-3	0.96387
M1256_1.02	5d5x_1E	12	13	1	0.183388
M0270_1.02	1dh3_1C	8	19	-5	0.973042
M1105_1.02	3d1n_1O	8	11	4	0.889154
M0359_1.02	1dh3_1C	12	19	-4	0.651561
M1353_1.02	1msf_1C	10	11	-2	0.00115948
M1422_1.02	5uan_1B	7	17	-1	0.00950386
M0080_1.02	1gcc_1A	8	11	-6	0.794752
M0071_1.02	5w64_2B	8	14	-8	0.814976
M0241_1.02	4atk_1B	12	16	-1	0.00101912
M0212_1.02	4h10_1A	10	14	-2	0.707082
M0140_1.02	6a5v_1B	7	14	-6	0.282261
M1218_1.02	2lkx_1A	10	13	0	0.111912
M0573_1.02	2i13_1A	10	21	-1	0.241783
M0405_1.02	5ke7_1A	10	10	0	0.00814346
M1496_1.02	3dzu_1D	8	20	-6	0.141421
M0197_1.02	1an4_1B	11	20	-4	0.0105014
M0116_1.02	1kqq_1A	9	15	-6	0.61435
M1515_1.02	3ukg_1A	8	27	-8	0.110977
M1628_1.02	4a04_1B	11	18	-7	3.61081e-05
M0119_1.02	4oqb_1F	10	13	0	0.862016
M0962_1.02	1fjl_1A	8	14	-1	0.229953
M0673_1.02	1cf7_1A	10	15	-4	0.267573
M0557_1.02	2i13_1B	8	18	0	0.639012
M0809_1.02	1odh_1A	8	13	-2	0.000211842
M1630_1.02	1h6f_1B	10	18	-6	0.000101921
M0907_1.02	2me6_1A	9	14	-2	0.0693187
M0041_1.02	1gcc_1A	9	11	0	0.0225812
M1827_1.02	1pyi_1B	10	14	-4	0.0157264
M1088_1.02	4rdu_1D	10	12	0	0.0594629
M1246_1.02	2xsd_1C	9	10	0	0.204101
M1122_1.02	3a01_1B	9	17	-3	0.105885
M1373_1.02	3zqc_1G	8	8	-2	0.844427
M1665_1.02	5gzb_1A	10	13	-8	0.995446
M0526_1.02	5ei9_1E	10	20	-6	0.680774
M1081_1.02	6a8r_1B	8	9	1	0.323956
M1802_1.02	1hwt_1G	11	9	-2	0.0770431
M1004_1.02	3a01_1F	8	17	-2	0.0139954
M0251_1.02	1am9_1B	10	24	-12	0.990483
M1186_1.02	3a01_1A	9	17	-7	0.418112
M0777_1.02	1gau_1A	7	8	0	0.244777
M1597_1.02	1gt0_1D	8	18	-2	0.183149
M0233_1.02	4atk_1B	10	16	-3	0.0152818
M0500_1.02	3g6t_1A	8	14	-7	0.200569
M1030_1.02	3rkq_1A	9	17	0	0.0760355
M1708_1.02	3coq_1B	12	19	-11	0.0380753
M0952_1.02	4uus_1B	8	13	-4	0.613278
M0361_1.02	1t2k_1D	10	15	-2	0.176918
M1688_1.02	2lex_1A	10	10	0	0.038347
M1486_1.02	1lo1_1A	8	13	-4	0.950767
M1772_1.02	6e33_1A	8	19	-1	0.360313
M0148_1.02	5ze2_1B	8	8	-1	0.929773
M1401_1.02	3swp_1A	9	15	-4	0.918486
M0950_1.02	4rdu_1D	9	12	0	0.0801323
M0803_1.02	5gat_1A	10	13	-2	0.316106
M0506_1.02	5ei9_1E	10	20	-7	0.427353
M0589_1.02	5fd3_1A	10	10	5	0.484516
M1182_1.02	5lux_1L	8	18	-6	0.104339
M0884_1.02	3a01_1B	10	17	-2	0.999842
M1410_1.02	3swp_1A	10	15	1	0.865175
M0317_1.02	2e42_1B	10	15	-2	0.690135
M0947_1.02	4s0h_1F	10	8	3	0.502547
